
 
,,,,,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Win,Win,Win
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24
56,Orlando Arcia\arciaor01,26,MIL,11,.082,-77,.125,.000,0.0%,27.3%,0.0%,95.1,62.5%,12.5%,62.5%,25.0%,1.67,12.5%,75.0%,12.5%,-0.1,-0.1%,-1.3
57,Orlando Arcia\arciaor01,26,ATL,78,.287,60,.245,.129,2.6%,20.5%,9.0%,87.1,34.5%,18.2%,50.9%,20.0%,1.04,30.9%,58.2%,10.9%,-0.4,0.0%,0.4
58,Nolan Arenado\arenano01,30,STL,653,.344,116,.249,.239,5.2%,14.7%,7.7%,89.0,37.5%,24.8%,31.3%,32.7%,0.46,35.5%,51.0%,13.5%,1.8,1.0%,19.1
59,Kohei Arihara\arihako01,28,TEX,2,.000,-125,.000,.000,0.0%,50.0%,0.0%,93.3,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9
60,Randy Arozarena\arozara01,26,TBR,604,.351,130,.363,.185,3.3%,28.2%,9.3%,89.7,42.8%,22.8%,49.2%,20.6%,0.97,29.7%,52.5%,17.9%,2.2,1.0%,18.9
61,Luis Arraez\arraelu01,24,MIN,479,.327,108,.323,.082,0.4%,10.0%,9.0%,88.4,30.6%,28.5%,46.6%,23.3%,0.87,20.7%,58.8%,20.5%,0.3,-0.1%,7.9
62,Jake Arrieta\arrieja01,35,TOT,30,.185,-4,.429,.000,0.0%,53.3%,6.7%,63.0,18.2%,18.2%,36.4%,0.0%,1.33,18.2%,54.5%,27.3%,-0.6,-0.3%,-4.5
63,Jake Arrieta\arrieja01,35,CHC,26,.163,-29,.400,.000,0.0%,61.5%,7.7%,66.5,14.3%,28.6%,42.9%,0.0%,1.50,14.3%,57.1%,28.6%,-0.6,-0.3%,-4.5
64,Jake Arrieta\arrieja01,35,SDP,4,.449,287,.500,.000,0.0%,0.0%,0.0%,57.0,25.0%,0.0%,25.0%,0.0%,1.00,25.0%,50.0%,25.0%,0.0,0.0%,-0.1
65,Christian Arroyo\arroych01,26,BOS,181,.340,105,.325,.183,3.3%,24.3%,4.4%,85.8,35.5%,25.6%,48.8%,18.2%,0.97,22.3%,58.7%,19.0%,1.4,1.4%,3.0
